author id,created_at,geo,id,lang,tweet
2828692401,2020-01-28 02:43:42+00:00, ,1221987184665862145,en,RT  NEW Baylor Student tested does NOT have the coronavirus Yesterday the CDC confirmed a Texas AampM student does NOT have
764245819,2020-01-28 02:36:39+00:00, ,1221985409535705090,en,RT  UPDATE After announcing last Thursday that a Texas AampM student was being tested for the coronavirus the Brazos County H
471307854,2020-01-28 02:20:20+00:00, ,1221981301068193795,en,RT  UPDATE Results negative for Texas AampM student tested for coronavirus   
1219414172091539460,2020-01-28 02:15:03+00:00, ,1221979971301756929,en,Texas AampM student tests negative for coronavirus  New York Post  
1145111022589681665,2020-01-28 02:02:09+00:00, ,1221976727418802176,en,RT  Medical supply stores in central Texas are experiencing a medical mask shortage after a Texas AampM student having recently trave
1006970599032414208,2020-01-28 01:57:30+00:00, ,1221975554372575233,en,RT  GOOD NEWS Texas AampM student doesnt have coronavirus But Texas will remain vigilant Tomorrow I meet with state he
17428614,2020-01-28 01:40:28+00:00, ,1221971269098332164,en,RT  After multiple false alarms in recent days including at Baylor University and Texas AampM state health officials say there ar
388406023,2020-01-28 01:26:16+00:00, ,1221967697065533445,en,RT  UPDATE Results negative for Texas AampM student tested for coronavirus   
946822648729915393,2020-01-28 01:18:04+00:00, ,1221965633845370881,en,Texas AampM student tests NEGATIVE for Coronavirus 
17376429,2020-01-28 00:29:51+00:00, ,1221953496666107904,en,RT  Texas AampM student tests Negative for  
23364353,2020-01-28 00:23:50+00:00, ,1221951984141504512,en,RT  Test results show a Baylor student and a Texas AampM student do not have coronavirus  via  
147990430,2020-01-28 00:15:35+00:00, ,1221949909357809665,en,RT  GOOD NEWS Texas AampM student doesnt have coronavirus But Texas will remain vigilant Tomorrow I meet with state he
1270558850,2020-01-28 00:13:55+00:00, ,1221949486836125696,en,So the college station case of the coronavirus is negative now so Texas is clean Just be careful yall
299883816,2020-01-28 00:09:30+00:00, ,1221948377983864832,en,RT  Test results show a Baylor student and a Texas AampM student do not have coronavirus  via  
1165386779844907008,2020-01-28 00:03:08+00:00, ,1221946776422363136,en,RT  Of course an AampM student brought corona virus to Texas
529663026,2020-01-28 00:00:32+00:00, ,1221946120714293248,en,After multiple false alarms in recent days including at Baylor University and Texas AampM state health officials say there are no confirmed cases of the deadly  in the state  
180504021,2020-01-27 23:55:49+00:00, ,1221944932732231681,en,RT  Test results show a Baylor student and a Texas AampM student do not have coronavirus  via  
589159091,2020-01-27 23:55:15+00:00, ,1221944791019278336,en,RT  NEW Baylor Student tested does NOT have the coronavirus Yesterday the CDC confirmed a Texas AampM student does NOT have
702531279741255680,2020-01-27 23:54:50+00:00, ,1221944685071142914,en,RT  GOOD NEWS Texas AampM student doesnt have coronavirus But Texas will remain vigilant Tomorrow I meet with state he
13678962,2020-01-27 23:53:00+00:00, ,1221944223605428224,en,Test results show a Baylor student and a Texas AampM student do not have coronavirus  via  
130418726,2020-01-27 23:46:18+00:00, ,1221942540611543042,en,RT  UPDATE Results negative for Texas AampM student tested for coronavirus   
2185202298,2020-01-27 23:43:23+00:00, ,1221941804595130369,en,RT  HEALTH  UPDATE Texas AampM student tests negative for deadly coronavirus CDC says 
4064210532,2020-01-27 23:39:49+00:00, ,1221940908054151180,en,RT  UPDATE After announcing last Thursday that a Texas AampM student was being tested for the coronavirus the Brazos County H
4064210532,2020-01-27 23:39:26+00:00, ,1221940809639120902,en,RT  126 Student at Texas AampM University tests negativ
29106490,2020-01-27 23:37:32+00:00, ,1221940330708250624,en,RT  Texas AampM student tests Negative for  
2802964288,2020-01-27 23:37:21+00:00, ,1221940286164783106,en,Texas AampM student tests Negative for  
819939415413944320,2020-01-27 23:25:21+00:00, ,1221937268597972992,en,RT  Texas AampM student tests negative for coronavirus school confirms 
1208818371845857280,2020-01-27 23:25:15+00:00, ,1221937242475761664,en,RT  UPDATE Results negative for Texas AampM student tested for coronavirus   
224274349,2020-01-27 23:22:02+00:00, ,1221936431557464064,en,126 Student at Texas AampM University tests negative for coronavirus in Brazos County 
794357898,2020-01-27 23:21:32+00:00, ,1221936306298793984,en,US testing 12 patients for coronavirus including Texas AampM student 
778229897500225536,2020-01-27 23:18:55+00:00, ,1221935646681583616,en,RT  GOOD NEWS Texas AampM student doesnt have coronavirus But Texas will remain vigilant Tomorrow I meet with state he
23619177,2020-01-27 23:12:35+00:00, ,1221934055211532289,en,RT  UPDATE After announcing last Thursday that a Texas AampM student was being tested for the coronavirus the Brazos County H
1088965388933742592,2020-01-27 23:10:41+00:00, ,1221933576301744129,en,RT  UPDATE After announcing last Thursday that a Texas AampM student was being tested for the coronavirus the Brazos County H
1114233619948691456,2020-01-27 23:08:31+00:00, ,1221933031004524546,en,UPDATE After announcing last Thursday that a Texas AampM student was being tested for the coronavirus the Brazos County Health District announced on Sunday that the test results came back negative 
4227635364,2020-01-27 22:48:01+00:00, ,1221927872945848320,en,RT  GOOD NEWS Texas AampM student doesnt have coronavirus But Texas will remain vigilant Tomorrow I meet with state he
834095862762635265,2020-01-27 22:37:00+00:00, ,1221925099567226880,en,RT  NEW Baylor Student tested does NOT have the coronavirus Yesterday the CDC confirmed a Texas AampM student does NOT have
47304946,2020-01-27 22:33:20+00:00, ,1221924176812036096,en,RT  JUST IN The student at Texas AampM does NOT have the coronavirus 
2853324261,2020-01-27 22:30:03+00:00, ,1221923349716037633,en,Texas AampM student tests negative for coronavirus  New York Post  
1159579608,2020-01-27 21:56:53+00:00, ,1221915004678627328,en,RT  What a relief Both  amp  students tested NEGATIVE for the  Thats good news but still be vegilant
21613255,2020-01-27 21:56:27+00:00, ,1221914896021032966,en,RT   Baylor University student tested negative for the coronavirus A Texas AampM student also tested negative for the virus
860207396,2020-01-27 21:48:35+00:00, ,1221912916309479424,en,RT  What a relief Both  amp  students tested NEGATIVE for the  Thats good news but still be vegilant
20270288,2020-01-27 21:32:41+00:00, ,1221908914767323139,en,RT   Baylor University student tested negative for the coronavirus A Texas AampM student also tested negative for the virus
2773452550,2020-01-27 21:22:08+00:00, ,1221906257164034049,en,RT  Tests clear  student of having  With  student was cleared yesterday no confirmed cases in Texas
469865173,2020-01-27 21:20:02+00:00, ,1221905728560078848,en,RT  Breaking Test results for both students are negativeThe  student and  student do NOT have the coronavi
860771822,2020-01-27 21:05:54+00:00, ,1221902172742410240,en,RT   Hi William Results were negative for the Texas AampM student tested for coronavirus Read more at 
937892389385134080,2020-01-27 21:05:54+00:00, ,1221902171400278021,en,RT  Breaking Test results for both students are negativeThe  student and  student do NOT have the coronavi
323920783,2020-01-27 20:57:05+00:00, ,1221899955029397505,en,Tests clear  student of having  With  student was cleared yesterday no confirmed cases in Texas  
144143564,2020-01-27 20:54:53+00:00, ,1221899398696853504,en,RT  UIUC taking precautions with the Coronavirus University of Illinois screening students for coronavirus after case appear
